company,metric,year,workbook_value,index_2017
spandanassphoorty,ExpensePerBorrower,2018,0.019216771752837328,0.5949392001456842
spandanassphoorty,ExpensePerBorrower,2019,0.02381718684977112,0.7373651660316458
spandanassphoorty,ExpensePerBorrower,2020,0.051340725967291584,1.5894766735400991
spandanassphoorty,ExpensePerBorrower,2021,0.05592136536030341,1.7312903960365376
spandanassphoorty,ExpensePerBorrower,2022,0.06501072812229347,2.012691366033171
spandanassphoorty,ExpensePerBorrower,2023,0.08245044247787611,2.552613983782305
spandanassphoorty,BorrowersPerBranch,2017,2032.319391634981,1.0
spandanassphoorty,BorrowersPerBranch,2018,2285.3025936599424,1.1244800414079792
spandanassphoorty,BorrowersPerBranch,2019,2672.9699666295883,1.3152312464426226
spandanassphoorty,BorrowersPerBranch,2020,2560.776302349336,1.2600265061138922
spandanassphoorty,BorrowersPerBranch,2021,2416.4969450101835,1.1890340440368161
spandanassphoorty,BorrowersPerBranch,2022,2139.721639656816,1.0528471304578908
spandanassphoorty,BorrowersPerBranch,2023,1960.1040763226365,0.964466552053982
fusionfinance,AverageLoanSize,2017,0.0012866500586166472,1.0
fusionfinance,AverageLoanSize,2018,0.0017749820199321894,1.3795375114198312
fusionfinance,AverageLoanSize,2019,0.0018668301978458097,1.4509230270839517
fusionfinance,AverageLoanSize,2020,0.001925282217141823,1.4963526440217991
fusionfinance,AverageLoanSize,2021,0.0017262596838362114,1.3416699220394193
fusionfinance,AverageLoanSize,2022,0.002214974910394265,1.7215053118450203
fusionfinance,AverageLoanSize,2023,0.002435158640226629,1.8926347719167793
fusionfinance,ExpensePerBorrower,2017,0.02875555392731536,1.0
fusionfinance,ExpensePerBorrower,2018,0.0329721052090825,1.146634326447865
fusionfinance,ExpensePerBorrower,2019,0.028025963332567745,0.9746278372313125
fusionfinance,ExpensePerBorrower,2020,0.03395418590670404,1.1807870574334658
fusionfinance,ExpensePerBorrower,2021,0.03797915535499684,1.320758954982948
fusionfinance,ExpensePerBorrower,2022,0.04616451612903226,1.6054121664886396
fusionfinance,ExpensePerBorrower,2023,0.04955127478753541,1.723189715377587
fusionfinance,BorrowersPerBranch,2017,4549.333333333333,1.0
fusionfinance,BorrowersPerBranch,2018,3908.8353413654618,0.8592105820703683
fusionfinance,BorrowersPerBranch,2019,4208.42061281337,0.9250631475996565
fusionfinance,BorrowersPerBranch,2020,3683.277777777778,0.8096302266510357
fusionfinance,BorrowersPerBranch,2021,3636.766497461929,0.7994064692545272
fusionfinance,BorrowersPerBranch,2022,3929.5774647887324,0.8637699585555538
fusionfinance,BorrowersPerBranch,2023,3779.443254817987,0.8307685935268143
